distance,theta,velocity
181,43.06387933142634,403.4569779843788
182,42.9282785825326,404.48237522857164
183,42.793364365228896,405.5100265830071
184,42.65913296370922,406.53991495386987
185,42.52558066970202,407.5720233830983
186,42.39270378284411,408.6063350475987
187,42.260498611043175,409.64283325845304
188,42.12896147082954,410.6815014601211
189,41.998088687696864,411.72232322963816
190,41.867876596432396,412.7652822758067
191,41.738321541436825,413.81036243838406
192,41.609419877033844,414.8575476872653
193,41.48116796776986,415.9068221216634
194,41.353562188703776,416.9581699692846
195,41.22659892568724,418.0115755855013
196,41.10027457563548,419.0670234525215
197,40.97458554678892,420.1244981785562
198,40.84952825896571,421.18398449698407
199,40.7250991438055,422.24546726551404
200,40.60129464500447,423.3089314653464
201,40.47811121854193,424.37436220033237
202,40.35554533289857,425.44174469613233
203,40.23359346926665,426.5110642993728
204,40.11225212175215,427.58230647680324
205,39.991517797569195,428.6554568144521
206,39.87138701722684,429.7305010167825
207,39.751856314708434,430.80742490584765
208,39.63292223764365,431.88621442044774
209,39.51458134747346,432.96685561528466
210,39.39683021960807,434.0493346601203
211,39.27966544357811,435.1336378389334
212,39.16308362317912,436.21975154907807
213,39.04708137660958,437.3076623004443
214,38.93165533660256,438.39735671461784
215,38.81680215055117,439.48882152404383
216,38.70251848062795,440.5820435711904
217,38.58880100389832,441.6770098077151
218,38.475646412428326,442.7737072936322
219,38.363051413386636,443.87212319648347
220,38.251012729141095,444.9722447905104
221,38.13952709734991,446.07405945582855
222,38.02859127104758,447.1775546776054
223,37.91820201872569,448.28271804523973
224,37.8083561244087,449.389537251545
225,37.699050387724974,450.49800009193393
226,37.59028162397297,451.6080944636078
227,37.48204666418279,452.7198083647481
228,37.374342355173276,453.83312989371115
229,37.26716555960471,454.94804724822654
230,37.160513156027235,456.0645487245983
231,37.054382038925034,457.1826227169105
232,36.94876911875655,458.3022577162357
233,36.84367132199072,459.42344230984725
234,36.7390855911393,460.5461651804351
235,36.635008884785506,461.67041510532624
236,36.53143817760902,462.7961809557078
237,36.42837046040736,463.92345169585576
238,36.3258027401139,465.05221638236503
239,36.223732039812454,466.18246416338724
240,36.12215539874865,467.314184277869
241,36.02106987233812,468.4473660547968
242,35.920472532171516,469.5819989124457
243,35.8203604660167,470.7180723576311
244,35.720730777817856,471.85557598496626
245,35.621580587691845,472.99449947612413
246,35.52290703192185,474.1348325991022
247,35.42470726294825,475.2765652074932
248,35.326978449357014,476.4196872397603
249,35.22971777586551,477.56418871851565
250,35.1329224433059,478.71005974980466
251,35.03658966860617,479.85729052239446
252,34.94071668476888,481.00587130706646
253,34.84530074084767,482.15579245591493
254,34.75033910192163,483.30704440164845
255,34.6558290490676,484.45961765689736
256,34.561767879330375,485.6135028135255
257,34.46815290569107,486.76869054194634
258,34.374981457033506,487.9251715904447
259,34.2822508781088,489.082936784502
260,34.18995852949816,490.24197702612736
261,34.098101787574016,491.4022832931928
262,34.00667804445943,492.5638466387735
263,33.915684707985974,493.72665819049274
264,33.82511920165004,494.8907091498714
265,33.73497896456763,496.05599079168275
266,33.64526145142774,497.22249446331176
267,33.55596413244439,498.3902115841186
268,33.467084493307205,499.5591336448085
269,33.37862003513089,500.72925220680406
270,33.29056827440325,501.90055890162483
271,33.20292674293221,503.0730454302695
272,33.11569298779156,504.2467035626045
273,33.02886457126567,505.4215251367563
274,32.94243907079307,506.5975020585091
275,32.85641407890911,507.77462630070625
276,32.770787203187574,508.9528899026581
277,32.685556066181334,510.1322849695527
278,32.600718305362186,511.31280367187304
279,32.51627157305979,512.4944382448167
280,32.432213536399765,513.6771809877227
281,32.34854187724101,514.8610242635012
282,32.2652542921123,516.0459604980686
283,32.182348492148144,517.2319821797865
284,32.09982220302394,518.4190818589074
285,32.017673164890525,519.6072521470217
286,31.93589913230807,520.7964857165122
287,31.854497874179437,521.9867753000111
288,31.7734671736829,523.1781136898637
289,31.692804828204405,524.3704937375941
290,31.61250864926933,525.563908353377
291,31.532576462473713,526.758350505514
292,31.453006107415124,527.9538132199139
293,31.37379543762304,529.1502895795769
294,31.294942320488904,530.3477727240843
295,31.21644463719575,531.5462558490921
296,31.138300282647528,532.7457322058283
297,31.0605071653981,533.9461951005968
298,30.98306320757993,535.147637894282
299,30.905966344832553,536.3500540018608
300,30.829214526230718,537.5534368919176
301,30.752805714212336,538.7577800861641
302,30.676737884506277,539.9630771589616
303,30.601009026059867,541.16932173685
304,30.525617140966304,542.3765074980795
305,30.450560244391916,543.5846281721465
306,30.375836364503204,544.7936775393342
307,30.30144354239393,546.0036494302559
308,30.22737983201194,547.2145377254043
309,30.153643300086024,548.4263363547038
310,30.08023202605267,549.6390392970663
311,30.00714410198275,550.8526405799521
312,29.93437763250825,552.0671342789337
313,29.861930734748903,553.2825145172645
314,29.789801538238837,554.4987754654509
315,29.7179881848533,555.7159113408275
316,29.64648882873533,556.9339164071379
317,29.575301636222484,558.1527849741178
318,29.504424785773676,559.3725113970827
319,29.433856467896007,560.5930900765184
320,29.363594885071695,561.8145154576766
321,29.29363825168512,563.0367820301735
322,29.223984793949942,564.2598843275913
323,29.154632749836313,565.483816927085
324,29.08558036899827,566.708574448991
325,29.016825912701186,567.9341515564412
326,28.948367653749415,569.1605429549791
327,28.880203876414086,570.3877433921795
328,28.812332876361005,571.6157476572733
329,28.744752960578765,572.8445505807741
330,28.67746244730709,574.0741470341083
331,28.610459665965216,575.30453192925
332,28.54374295708062,576.5357002183579
333,28.47731067221785,577.7676468934167
334,28.41116117390761,579.00036698588
335,28.345292835576064,580.2338555663192
